
Player,Team,Pos,ADP
Cedric Tillman,CLE,WR,176.0
Hollywood Brown,KC,WR,151.0
Brandon Aiyuk,SF,WR,110.5
Hunter Henry,NE,TE,153.5
Jake Ferguson,DAL,TE,122.5
Tua Tagovailoa,MIA,QB,152.5
Matthew Stafford,LAR,QB,163.5
C.J. Stroud,HOU,QB,129.5
Jaylen Wright,MIA,RB,162.0
Bhayshul Tuten,JAX,RB,137.5
Braelon Allen,NYJ,RB,157.0
Isaac Guerendo,SF,RB,134.0
MarShawn Lloyd,GB,RB,201.0
Ray Davis,BUF,RB,138.0
Quentin Johnston,LAC,WR,184.0
Jack Bech,LV,WR,150.0
Wan'Dale Robinson,NYG,WR,182.5
Marvin Mims Jr.,DEN,WR,136.0
Kyle Williams,NE,WR,161.5
Rashod Bateman,BAL,WR,167.5
Luther Burden III,CHI,WR,144.0
Jalen McMillan,TB,WR,164.5
Roschon Johnson,CHI,RB,179.5
Jaydon Blue,DAL,RB,127.5
Will Shipley,PHI,RB,218.5
Michael Wilson,ARI,WR,248.0
Pat Bryant,DEN,WR,224.5
Darren Waller,MIA,TE,224.0
Chig Okonkwo,TEN,TE,198.0
Jonnu Smith,PIT,TE,110.0
Zach Ertz,WSH,TE,160.5
Texans D/ST,HOU,DST,193.5
Steelers D/ST,PIT,DST,173.0
Broncos D/ST,DEN,DST,158.5
Vikings D/ST,MIN,DST,185.0
Seahawks D/ST,SEA,DST,254.0
Ravens D/ST,BAL,DST,193.5
Patriots D/ST,NE,DST,266.0
Lions D/ST,DET,DST,216.0
Eagles D/ST,PHI,DST,162.5
Bills D/ST,BUF,DST,207.5
Colts D/ST,IND,DST,292.0
Jets D/ST,NYJ,DST,271.5
Jake Bates,DET,K,212.0
Chase McLaughlin,TB,K,242.0
Cameron Dicker,LAC,K,201.5
Brandon Aubrey,DAL,K,188.5
Jason Sanders,MIA,K,256.0
Tyler Bass,BUF,K,239.0
Jake Elliott,PHI,K,256.5
Chris Boswell,PIT,K,250.0
Harrison Butker,KC,K,227.0
Tyler Loop,BAL,K,273.5
Matt Gay,WSH,K,258.0
Christian Kirk,HOU,WR,147.5
Keenan Allen,FA,WR,188.5
Justice Hill,BAL,RB,182.0
Kareem Hunt,KC,RB,195.5
Romeo Doubs,GB,WR,192.5
Trevor Lawrence,JAX,QB,142.0
Cameron Ward,TEN,QB,164.0
Michael Penix Jr.,ATL,QB,162.0
Tyler Lockett,TEN,WR,251.0
DeMario Douglas,NE,WR,195.0
Joshua Palmer,BUF,WR,196.0
Diontae Johnson,CLE,WR,274.5
Elijah Arroyo,SEA,TE,217.5
Mike Gesicki,CIN,TE,187.5
Brandin Cooks,NO,WR,288.0
Darius Slayton,NYG,WR,252.5
DeAndre Hopkins,BAL,WR,168.5
Dont'e Thornton Jr.,LV,WR,265.5
Blake Corum,LAR,RB,197.5
Zack Moss,FA,RB,248.0
Nick Chubb,HOU,RB,146.5
Brenton Strange,JAX,TE,169.5
Cade Otton,TB,TE,176.0
Mason Taylor,NYJ,TE,174.5
Bryce Young,CAR,QB,163.5
Geno Smith,LV,QB,175.5
Anthony Richardson Sr.,IND,QB,183.0
Woody Marks,HOU,RB,225.0
Kendre Miller,NO,RB,275.5
Rico Dowdle,CAR,RB,140.5
Adonai Mitchell,IND,WR,267.5
Raheem Mostert,LV,RB,247.0
Miles Sanders,DAL,RB,211.0
Amari Cooper,FA,WR,241.5
Dyami Brown,JAX,WR,250.0
Tutu Atwell,LAR,WR,290.0
Calvin Austin III,PIT,WR,260.0
Christian Watson,GB,WR,289.0
Giants D/ST,NYG,DST,243.5
Buccaneers D/ST,TB,DST,227.5
Ka'imi Fairbairn,HOU,K,215.0
Joshua Karty,LAR,K,301.0
DJ Giddens,IND,RB,205.0
Trevor Etienne,CAR,RB,250.5
Jarquez Hunter,LAR,RB,200.0
Antonio Gibson,NE,RB,265.5
Jaleel McLaughlin,DEN,RB,233.5
Devin Singletary,NYG,RB,275.0
Ty Johnson,BUF,RB,299.0
Elijah Mitchell,KC,RB,249.5
Kenneth Gainwell,PIT,RB,298.0
Ollie Gordon II,MIA,RB,263.0
Sean Tucker,TB,RB,291.0
Jalen Coker,CAR,WR,242.0
Cardinals D/ST,ARI,DST,273.0
Packers D/ST,GB,DST,253.5
Brandon McManus,GB,K,236.0
Evan McPherson,CIN,K,255.0
Isaiah Likely,BAL,TE,160.0
Dalton Schultz,HOU,TE,206.0
Pat Freiermuth,PIT,TE,192.5
Alec Pierce,IND,WR,205.0
Andrei Iosivas,CIN,WR,274.0
Keaton Mitchell,BAL,RB,280.0
Sam Darnold,SEA,QB,180.0
Aaron Rodgers,PIT,QB,182.5
Russell Wilson,NYG,QB,204.5
Tyler Shough,NO,QB,223.5
Jalen Tolbert,DAL,WR,306.5
Jaylin Noel,HOU,WR,231.0
Tre Tucker,LV,WR,265.0
Kyle Monangai,CHI,RB,189.0
Samaje Perine,CIN,RB,294.0
Devin Neal,NO,RB,210.0
Jordan James,SF,RB,260.5
Jordan Whittington,LAR,WR,282.0
Chiefs D/ST,KC,DST,212.0
Bears D/ST,CHI,DST,262.0
Wil Lutz,DEN,K,259.0
Tyler Higbee,LAR,TE,281.5
Theo Johnson,NYG,TE,253.0
Juwan Johnson,NO,TE,241.5
Ja'Tavion Sanders,CAR,TE,243.5
Tyler Conklin,LAC,TE,254.5
Marquez Valdes-Scantling,SEA,WR,299.0
Daniel Jones,IND,QB,230.5
Rams D/ST,LAR,DST,245.0
49ers D/ST,SF,DST,205.5
Dolphins D/ST,MIA,DST,251.0
Chargers D/ST,LAC,DST,261.5
Jaxson Dart,NYG,QB,227.0
Brashard Smith,KC,RB,204.0
Isaiah Davis,NYJ,RB,315.0
Emanuel Wilson,GB,RB,310.0
Noah Fant,CIN,TE,274.0
Ben Sinnott,WSH,TE,285.0
Terrance Ferguson,LAR,TE,236.0
Shedeur Sanders,CLE,QB,225.0
Joe Flacco,CLE,QB,246.5
Spencer Rattler,NO,QB,229.0
Kirk Cousins,ATL,QB,261.0
Jalen Milroe,SEA,QB,258.0
Khalil Herbert,IND,RB,307.5
Alexander Mattison,MIA,RB,237.0
Noah Gray,KC,TE,268.0
Cole Kmet,CHI,TE,249.0
Harold Fannin Jr.,CLE,TE,263.5
Oronde Gadsden II,LAC,TE,289.5
Will Reichard,MIN,K,283.0
Daniel Carlson,LV,K,299.0
Younghoe Koo,ATL,K,282.5
Jake Moody,SF,K,302.0
Jaguars D/ST,JAX,DST,296.0
Cowboys D/ST,DAL,DST,258.5
Browns D/ST,CLE,DST,304.0
Titans D/ST,TEN,DST,240.0
Saints D/ST,NO,DST,298.0
Commanders D/ST,WSH,DST,227.0
Raiders D/ST,LV,DST,293.0
Bengals D/ST,CIN,DST,263.0
Jalen Nailor,MIN,WR,248.0
Elic Ayomanor,TEN,WR,265.5
Jermaine Burton,CIN,WR,279.0
Curtis Samuel,BUF,WR,306.0
Troy Franklin,DEN,WR,304.0
Roman Wilson,PIT,WR,285.0
Luke McCaffrey,WSH,WR,264.0
Devaughn Vele,DEN,WR,277.0
Elijah Moore,BUF,WR,312.0
Jalen Royals,KC,WR,225.5
Dontayvion Wicks,GB,WR,264.5
KeAndre Lambert-Smith,LAC,WR,292.0
Isaac TeSlaa,DET,WR,270.5
Tory Horton,SEA,WR,268.0
Tahj Brooks,CIN,RB,235.0
Damien Martinez,SEA,RB,301.0
Jacory Croskey-Merritt,WSH,RB,252.5
Audric Estime,DEN,RB,269.0
Kayshon Boutte,NE,WR,297.0
Dameon Pierce,HOU,RB,316.0
Taysom Hill,NO,TE,281.0
Phil Mafah,DAL,RB,317.0
Xavier Restrepo,TEN,WR,261.0
