
Player,Team,Pos,ADP
Dominic Lovett,DET,WR167,566.0
Dominique Dafney,CAR,TE139,772.0
Donovan Edwards,NYJ,RB160,537.0
Donovan Peoples-Jones,NO,WR149,471.0
Dont'e Thornton Jr.,LV,WR76,228.7
Dontayvion Wicks,GB,WR75,270.8
Dorian Thompson-Robinson,PHI,QB77,526.0
Drake Dabney,TEN,TE127,716.0
Drake London,ATL,WR10,20.6
Drake Maye,NE,QB18,147.0
Drake Stoops,LAR,WR257,696.0
Dresser Winn,LAR,QB101,638.0
Drew Lock,SEA,QB49,366.5
Drew Ogletree,IND,TE105,612.0
Drew Sample,CIN,TE60,345.0
Durham Smythe,CHI,TE96,560.0
Dustin Hopkins,CLE,K28,265.5
Dyami Brown,JAC,WR84,285.7
Dylan Drummond,ATL,WR295,808.0
Dylan Laube,LV,RB179,672.0
Dylan Sampson,CLE,RB53,181.8
Dymere Miller,NYJ,WR329,894.0
E.J. Jenkins,PHI,TE62,368.0
Eddy Pineiro,,K42,459.0
Efton Chism III,NE,WR154,554.0
Elic Ayomanor,TEN,WR94,275.5
Elijah Arroyo,SEA,TE27,221.5
Elijah Cooks,PHI,WR294,806.0
Elijah Higgins,ARI,TE53,378.5
Elijah Mitchell,KC,RB72,244.0
Elijah Moore,BUF,WR109,310.5
Elijah Young,KC,RB207,880.0
Elijhah Badger,KC,WR322,878.0
Emani Bailey,CAR,RB182,685.0
Emanuel Wilson,GB,RB106,349.0
Emari Demercado,ARI,RB155,516.0
Emeka Egbuka,TB,WR47,122.6
Equanimeous St. Brown,SF,WR132,428.0
Eric Saubert,SEA,TE91,549.0
Erick All Jr.,CIN,TE116,667.0
Erik Ezukanma,MIA,WR287,792.0
Evan Engram,DEN,TE8,86.0
Evan Hull,PIT,RB173,635.0
Evan McPherson,CIN,K13,203.0
Ezekiel Elliott,,RB100,302.0
Feleipe Franks,ATL,QB115,783.0
Foster Moreau,NO,TE75,473.0
Frank Gore Jr.,BUF,RB108,426.0
Gage Larvadain,CLE,WR311,859.0
Gardner Minshew II,KC,QB99,574.0
Garrett Wilson,NYJ,WR15,37.4
Gary Brightwell,CIN,RB166,602.0
Gavin Bartholomew,MIN,TE63,549.0
Gee Scott Jr.,NE,TE133,733.0
Geno Smith,LV,QB26,215.8
Geor'Quarius Spivey,KC,TE160,848.0
George Holani,SEA,RB157,523.0
George Kittle,SF,TE3,38.2
George Pickens,DAL,WR29,66.6
Gerald Everett,,TE135,747.0
Giovanni Ricci,MIN,TE77,479.0
Graham Gano,NYG,K26,257.0
Graham Mertz,HOU,QB107,718.0
Grant Calcaterra,PHI,TE46,308.0
Green Bay Packers,DST,DST11,197.6
Greg Dortch,ARI,WR160,407.0
Greg Dulcich,NYG,TE145,788.0
Greg Joseph,,K38,367.5
Greg Zuerlein,,K48,434.0
Gunnar Helm,TEN,TE128,717.0
Harold Fannin Jr.,CLE,TE44,380.0
Harrison Bryant,PHI,TE82,535.0
Harrison Butker,KC,K7,164.2
Harrison Mevis,NYJ,K34,330.5
Hassan Haskins,LAC,RB125,417.0
Hayden Hurst,,TE95,556.0
Hayden Rucci,MIA,TE158,845.0
Hendon Hooker,DET,QB47,363.5
Houston Texans,DST,DST6,143.0
Hunter Dekkers,NO,QB126,890.0
Hunter Henry,NE,TE20,175.2
Hunter Long,JAC,TE141,777.0
Hunter Luepke,DAL,RB130,426.0
Hunter Renfrow,CAR,WR102,296.0
Ian Book,,QB82,450.0
Ian Thomas,LV,TE71,473.0
Ian Wheeler,CHI,RB201,829.0
Ihmir Smith-Marsette,NYG,WR228,601.0
Indianapolis Colts,DST,DST25,221.7
Irv Smith Jr.,HOU,TE76,524.5
Irvin Charles,NYJ,WR232,615.0
Isaac Guerendo,SF,RB47,153.8
Isaac TeSlaa,DET,WR74,258.0
Isaiah Davis,NYJ,RB181,679.0
Isaiah Hodgins,SF,WR220,582.0
Isaiah Likely,BAL,TE19,175.2
Isaiah Neyor,GB,WR191,577.0
Isaiah Williams,CIN,WR179,645.0
Isiah Pacheco,KC,RB26,66.8
Israel Abanikanda,GB,RB123,525.0
J.J. McCarthy,MIN,QB19,147.4
J.J. Taylor,HOU,RB92,362.0
J.K. Dobbins,DEN,RB37,116.2
JJ Galbreath,PIT,TE134,743.0
Ja'Corey Brooks,WAS,WR146,351.0
Ja'Lynn Polk,NE,WR254,676.0
Ja'Marr Chase,CIN,WR1,1.0
Ja'Quinden Jackson,JAC,RB190,720.0
Ja'Tavion Sanders,CAR,TE32,265.7
JaQuae Jackson,LAC,WR301,825.0
Jabari Small,DET,RB158,524.0
Jack Bech,LV,WR59,169.8
Jack Plummer,CAR,QB120,827.0
Jack Stoll,NO,TE102,606.0
Jackson Hawes,BUF,TE162,854.0
Jackson Meeks,DET,WR315,866.0
Jacksonville Jaguars,DST,DST29,253.0
Jacob Cowing,SF,WR156,391.0
Jacob Kibodi,,RB120,401.0
Jacoby Brissett,ARI,QB86,465.0
Jacory Croskey-Merritt,WAS,RB59,255.8
Jaden Smith,TB,WR292,804.0
Jaelen Gill,,WR309,846.0
Jahan Dotson,PHI,WR93,272.5
Jahdae Walker,CHI,WR259,702.0
Jaheim Bell,NE,TE117,675.0
Jahmal Banks,BAL,WR203,528.0
Jahmyr Gibbs,DET,RB3,4.8
Jake Bates,DET,K3,130.6
Jake Bobo,SEA,WR110,332.0
Jake Briningstool,KC,TE130,721.0
Jake Browning,CIN,QB75,456.0
Jake Elliott,PHI,K8,165.4
Jake Ferguson,DAL,TE16,136.2
Jake Haener,NO,QB102,640.0
Jake Moody,SF,K19,237.3
Jake Tonges,SF,TE144,787.0
Jakob Johnson,HOU,RB163,576.0
Jakobi Meyers,LV,WR41,93.6
Jakobie Keeney-James,DET,WR314,865.0
Jaleel McLaughlin,DEN,RB73,246.3
Jalen Brooks,DAL,WR241,633.0
Jalen Coker,CAR,WR104,299.0
Jalen Hurts,PHI,QB5,36.4
Jalen McMillan,TB,WR66,202.4
Jalen Milroe,SEA,QB33,266.0
Jalen Nailor,MIN,WR123,383.5
Jalen Reagor,LAC,WR158,497.0
Jalen Royals,KC,WR77,298.8
Jalen Tolbert,DAL,WR129,287.0
Jalen Virgil,BUF,WR289,799.0
Jalen White,GB,RB136,461.0
Jalin Conyers,MIA,TE167,885.0
Jalin Hyatt,NYG,WR120,372.0
Jamaal Pritchett,NYJ,WR330,895.0
Jamaal Williams,,RB139,468.0
Jamal Agnew,ATL,WR208,551.0
Jamari Thrash,CLE,WR173,628.0
Jameis Winston,NYG,QB40,312.0
James Conner,ARI,RB19,47.2
James Cook,BUF,RB13,31.2
Jameson Williams,DET,WR27,62.6
Jared Goff,DET,QB10,103.6
Jared Wayne,,WR293,805.0
Jared Wiley,KC,TE153,818.0
Jaren Hall,,QB71,368.0
Jaret Patterson,LAC,RB149,492.0
Jarquez Hunter,LAR,RB68,265.0
Jarrett Stidham,DEN,QB65,415.0
Jase McClellan,,RB199,811.0
Jashaun Corbin,ATL,RB170,626.0
Jason Bean,IND,QB121,832.0
Jason Myers,SEA,K23,206.5
Jason Sanders,MIA,K10,185.0
Jauan Jennings,SF,WR43,101.0
Javon Baker,NE,WR188,576.5
Javonte Williams,DAL,RB35,104.8
Jawhar Jordan,HOU,RB178,669.0
Jaxon Smith-Njigba,SEA,WR14,34.4
Jaxson Dart,NYG,QB31,240.3
Jayden Daniels,WAS,QB3,30.4
Jayden Higgins,HOU,WR53,147.8
Jayden Reed,GB,WR46,111.6
Jaydon Blue,DAL,RB45,141.8
Jaylen Waddle,MIA,WR32,75.4
Jaylen Warren,PIT,RB31,93.8
