
Player,Team,Pos,ADP
Will Reichard,MIN,K,267.0
Daniel Carlson,LV,K,259.0
Younghoe Koo,ATL,K,255.0
Jake Moody,SF,K,246.0
Jaguars D/ST,JAX,DST,294.0
Cowboys D/ST,DAL,DST,242.3
Browns D/ST,CLE,DST,264.5
Titans D/ST,TEN,DST,235.0
Saints D/ST,NO,DST,296.0
Commanders D/ST,WSH,DST,222.3
Raiders D/ST,LV,DST,292.0
Bengals D/ST,CIN,DST,234.0
Jalen Nailor,MIN,WR,248.0
Elic Ayomanor,TEN,WR,267.5
Jermaine Burton,CIN,WR,279.0
Troy Franklin,DEN,WR,291.0
Roman Wilson,PIT,WR,287.0
Luke McCaffrey,WSH,WR,264.0
Devaughn Vele,DEN,WR,277.0
Elijah Moore,BUF,WR,312.0
Jalen Royals,KC,WR,225.0
Dontayvion Wicks,GB,WR,280.5
KeAndre Lambert-Smith,LAC,WR,292.0
Isaac TeSlaa,DET,WR,276.5
Tory Horton,SEA,WR,268.0
Tahj Brooks,CIN,RB,224.5
Jacory Croskey-Merritt,WSH,RB,247.5
Audric Estime,DEN,RB,283.0
Kayshon Boutte,NE,WR,295.0
Dameon Pierce,HOU,RB,316.0
Taysom Hill,NO,TE,291.0
Phil Mafah,DAL,RB,317.0
Xavier Restrepo,TEN,WR,280.0
