
Player,Team,Pos,ADP
Chris Brooks,GB,RB,385.0
Emanuel Wilson,GB,RB,337.0
Michael Mayer,LV,TE,297.0
Noah Fant,CIN,TE,332.3
Ben Sinnott,WSH,TE,368.0
Terrance Ferguson,LAR,TE,278.3
Shedeur Sanders,CLE,QB,218.0
Joe Flacco,CLE,QB,301.0
Spencer Rattler,NO,QB,338.0
Kirk Cousins,ATL,QB,265.5
Jalen Milroe,SEA,QB,265.3
Alexander Mattison,MIA,RB,328.0
AJ Barner,SEA,TE,281.5
Will Dissly,LAC,TE,308.0
Dawson Knox,BUF,TE,249.5
Noah Gray,KC,TE,267.0
Austin Hooper,NE,TE,314.0
Cole Kmet,CHI,TE,240.7
Harold Fannin Jr.,CLE,TE,387.3
Luke Musgrave,GB,TE,289.0
Tommy Tremble,CAR,TE,403.5
Josh Oliver,MIN,TE,359.0
Oronde Gadsden II,LAC,TE,405.0
Mason Rudolph,PIT,QB,380.5
Jameis Winston,NYG,QB,317.5
Jimmy Garoppolo,LAR,QB,386.5
Marcus Mariota,WSH,QB,380.5
Joe Milton III,DAL,QB,301.5
Cam Little,JAX,K,240.5
Will Reichard,MIN,K,233.8
Spencer Shrader,IND,K,349.5
Ryan Fitzgerald,CAR,K,311.5
Daniel Carlson,LV,K,224.8
Chad Ryland,ARI,K,282.0
Younghoe Koo,ATL,K,197.8
Andy Borregales,NE,K,257.5
Jake Moody,SF,K,237.0
Blake Grupe,NO,K,246.0
Joey Slye,TEN,K,278.5
Graham Gano,NYG,K,258.5
Harrison Mevis,,,329.0
Dustin Hopkins,CLE,K,267.5
Jaguars D/ST,JAX,DST,251.0
Cowboys D/ST,DAL,DST,195.8
Browns D/ST,CLE,DST,201.7
Titans D/ST,TEN,DST,253.7
Falcons D/ST,ATL,DST,222.5
Saints D/ST,NO,DST,249.7
Commanders D/ST,WSH,DST,197.8
Raiders D/ST,LV,DST,241.0
Bengals D/ST,CIN,DST,193.7
Panthers D/ST,CAR,DST,246.5
Jalen Nailor,MIN,WR,331.5
Elic Ayomanor,TEN,WR,272.5
Jermaine Burton,CIN,WR,382.7
Tim Patrick,DET,WR,286.5
Scott Matlock,LAC,,286.0
Robert Woods,PIT,WR,342.0
Demarcus Robinson,SF,WR,406.0
Curtis Samuel,BUF,WR,419.5
Troy Franklin,DEN,WR,329.0
Roman Wilson,PIT,WR,322.7
Luke McCaffrey,WSH,WR,287.5
Devaughn Vele,DEN,WR,370.0
Elijah Higgins,ARI,TE,363.5
Mack Hollins,NE,WR,356.5
JuJu Smith-Schuster,KC,WR,276.0
Tai Felton,MIN,WR,450.5
Jaylin Lane,WSH,WR,391.0
Elijah Moore,BUF,WR,312.5
Jake Bobo,SEA,WR,342.0
Adam Trautman,DEN,TE,380.0
Luke Schoonmaker,DAL,TE,376.0
Kalif Raymond,DET,WR,350.0
Jahan Dotson,PHI,WR,275.5
Drew Sample,CIN,TE,353.0
Julian Hill,MIA,TE,400.0
Rondale Moore,MIN,WR,585.5
Jalen Royals,KC,WR,304.0
Savion Williams,GB,WR,504.5
Dontayvion Wicks,GB,WR,276.3
Kendrick Bourne,NE,WR,371.0
Grant Calcaterra,PHI,TE,297.0
KeAndre Lambert-Smith,LAC,WR,395.0
Arian Smith,NYJ,WR,642.5
Daniel Bellinger,NYG,TE,400.0
Olamide Zaccheaus,CHI,WR,372.0
Justin Watson,HOU,WR,404.0
Darnell Washington,PIT,TE,323.0
Mo Alie-Cox,IND,TE,401.0
Brock Wright,DET,TE,317.5
Isaac TeSlaa,DET,WR,256.0
C.J. Ham,MIN,RB,406.0
Tory Horton,SEA,WR,355.0
Tahj Brooks,CIN,RB,301.0
Damien Martinez,SEA,RB,424.5
Ty Chandler,MIN,RB,357.5
Charlie Kolar,BAL,TE,452.0
Jalin Hyatt,NYG,WR,354.5
Craig Reynolds,DET,RB,337.5
Charlie Jones,CIN,WR,509.5
Patrick Ricard,BAL,RB,383.0
Jacob Cowing,SF,WR,392.0
Jeremy McNichols,WSH,RB,398.0
Jacory Croskey-Merritt,WSH,RB,283.8
Carson Steele,KC,RB,342.0
Kimani Vidal,LAC,RB,444.0
Audric Estime,DEN,RB,330.0
Gavin Bartholomew,MIN,TE,445.5
Tylan Wallace,BAL,WR,365.5
Jimmy Horn Jr.,CAR,WR,268.0
Mitchell Evans,CAR,TE,497.5
Connor Heyward,PIT,TE,397.0
Devontez Walker,BAL,WR,501.0
Kayshon Boutte,NE,WR,336.3
David Moore,CAR,WR,432.0
Johnny Wilson,PHI,WR,493.0
Tez Johnson,TB,WR,397.5
Travis Homer,CHI,RB,429.0
Jarrett Stidham,DEN,QB,392.5
Malik Willis,GB,QB,357.5
Zach Wilson,MIA,QB,550.5
Andy Dalton,CAR,QB,374.0
Cooper Rush,BAL,QB,388.0
Aidan O'Connell,LV,QB,392.0
Drew Lock,SEA,QB,350.0
Hendon Hooker,DET,QB,351.0
Joshua Dobbs,NE,QB,325.0
Mitchell Trubisky,BUF,QB,355.0
Mac Jones,SF,QB,363.0
Brandon Allen,TEN,QB,433.5
Raheem Blackshear,CAR,RB,438.0
Tanner McKee,PHI,QB,328.5
Avery Williams,PHI,RB,485.0
Sterling Shepard,TB,WR,341.5
Dameon Pierce,HOU,RB,359.0
Julius Chestnut,TEN,RB,444.5
Tyler Scott,CHI,WR,597.5
LaJohntay Wester,BAL,WR,498.0
Hunter Renfrow,CAR,WR,301.0
Taysom Hill,NO,TE,246.5
Equanimeous St. Brown,SF,WR,413.5
Deshaun Watson,CLE,QB,333.0
Lil'Jordan Humphrey,NYG,WR,456.5
Cam Akers,NO,RB,449.5
Jalen Reagor,LAC,WR,472.0
Darrynton Evans,BUF,RB,374.0
Donovan Peoples-Jones,NO,WR,462.5
J.J. Taylor,HOU,RB,357.0
Terrace Marshall Jr.,PHI,WR,475.0
Trey Lance,LAC,QB,357.0
Jermar Jefferson,TEN,RB,378.5
D.J. Montgomery,IND,WR,472.0
Hassan Haskins,LAC,RB,379.0
Zamir White,LV,RB,351.5
Deuce Vaughn,DAL,RB,358.5
Tank Dell,HOU,WR,247.0
Dorian Thompson-Robinson,PHI,QB,503.0
Tyson Bagent,CHI,QB,465.0
Tommy DeVito,NYG,QB,483.0
Ainias Smith,PHI,WR,380.0
Sione Vaki,DET,RB,399.5
E.J. Jenkins,PHI,TE,384.0
Quinn Ewers,MIA,QB,364.5
Xavier Restrepo,TEN,WR,337.7
Will Howard,PIT,QB,299.5
Matt Barkley,FA,QB,313.0
Eddy Pineiro,FA,K,472.5
Greg Joseph,FA,K,350.5
Dalvin Cook,FA,RB,347.0
Leonard Fournette,FA,RB,385.0
John Ross,FA,WR,403.0
Zane Gonzalez,FA,K,432.0
Ezekiel Elliott,FA,RB,310.0
Melvin Gordon III,FA,RB,406.0
Carson Wentz,FA,QB,458.0
Odell Beckham Jr.,FA,WR,370.5
Justin Tucker,FA,K,260.0
Teddy Bridgewater,TB,QB,362.0
Julio Jones,FA,WR,312.0
Mason Crosby,,,337.0
Nick Folk,NYJ,K,366.0
Ben DiNucci,,,296.0
Matthew Wright,,,384.5
Kadarius Toney,,,569.5
Cade York,,,434.5
Max Duggan,,,341.0
DeWayne McBride,,,316.0
Jaren Hall,,,377.0
Nathan Rourke,,,293.0
Lucas Havrisik,,,408.0
Jordan Travis,,,258.0
Baylor Cupp,BAL,TE,346.0
Jude McAtamney,,,392.5
Jermaine Jackson,,,373.0
John Samuel Shenker,,,281.0
Ja'Corey Brooks,,,390.0
